,SVM,DecTree,Percep,SGD,RandF,LogR,KNN,GauNB
175,1,1,1,0,1,1,1,1
176,0,0,1,0,1,1,1,0
177,0,1,1,0,1,1,0,1
178,1,1,1,1,1,1,1,1
179,0,1,1,1,1,1,1,0
180,0,0,1,1,1,1,1,0
181,1,1,1,1,1,1,1,1
182,1,1,1,1,1,1,0,0
183,0,1,1,0,1,1,1,0
184,0,0,1,1,0,1,0,0
185,0,1,1,0,1,1,1,0
186,0,1,1,1,1,1,1,0
187,1,1,1,0,1,1,1,0
188,1,1,1,0,1,1,1,1
189,0,1,1,1,0,0,1,0
190,1,1,1,0,1,1,0,1
191,0,1,1,1,1,1,1,0
192,1,1,1,0,1,1,1,1
193,1,1,1,0,1,1,0,1
194,0,1,1,0,1,1,1,0
195,0,1,1,0,1,1,1,0
196,0,1,1,1,1,1,0,0
197,0,0,1,1,0,1,0,0
198,0,0,1,1,0,1,0,0
199,1,1,1,1,1,1,1,1
200,1,0,1,1,1,1,0,0
201,1,0,1,0,1,1,1,1
202,1,1,1,1,1,1,0,0
203,1,1,1,1,1,1,1,1
204,0,1,1,0,1,1,1,1
205,0,0,1,1,0,1,0,0
206,1,1,1,0,1,1,1,1
207,0,1,1,1,1,1,1,0
208,0,1,1,0,1,1,1,1
209,1,1,1,0,1,1,0,1
210,1,1,1,1,1,1,1,1
211,0,1,1,1,1,1,1,0
212,1,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1,1
214,1,0,1,0,1,0,1,0
215,0,1,1,0,1,1,1,1
216,1,0,1,1,0,1,1,0
217,1,1,1,1,1,1,1,1
218,1,0,1,0,0,1,1,0
219,0,1,1,1,1,1,1,1
220,0,1,1,0,1,1,1,0
221,0,0,1,1,0,0,0,0
222,0,1,1,0,1,1,1,1
223,0,1,1,1,1,1,0,0
224,1,1,1,1,1,1,0,0
225,0,1,1,1,1,1,1,1
226,0,1,1,1,1,1,0,1
227,0,1,1,0,1,1,1,1
228,0,1,1,1,1,1,1,1
229,0,1,0,0,1,1,1,0
230,1,1,1,1,1,1,1,1
231,0,1,1,1,1,1,1,1
232,1,1,1,1,1,1,1,1
233,1,1,1,0,1,1,1,1
234,0,0,1,1,0,0,0,0
235,1,1,1,0,1,1,1,1
236,0,1,0,1,1,1,0,0
237,0,1,1,1,1,1,1,1
238,1,1,1,1,1,0,0,0
239,1,1,1,1,1,1,1,1
240,0,1,1,1,1,1,1,0
241,0,0,1,1,0,1,0,0
242,1,1,1,1,1,1,1,1
243,1,1,1,0,1,1,0,1
244,0,1,1,1,1,1,1,0
245,0,1,1,1,1,1,1,1
246,0,0,1,0,1,1,1,0
247,0,1,1,1,1,1,0,1
